data_as_of,start_week,end_week,state,county_name,urbanruralcode,fipsstate,fipscounty,fipscode,indicator,all_deaths_total,covid_19_deaths_total,non_hispanic_white,non_hispanic_black,non_hispanic_american_indian,non_hispanic_asian,non_hispanic_nhopi,hispanic,other,urbanruraldesc,footnote
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Citrus County,4,12,17,12017,Distribution of population (%),10656,922,0.872,0.029,0.004,0.017,0,0.063,0.016,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Clay County,2,12,19,12019,Distribution of all-cause deaths (%),9106,1012,0.809,0.121,0.002,0.019,,0.043,0.007,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Clay County,2,12,19,12019,Distribution of COVID-19 deaths (%),9106,1012,0.761,0.147,,0.024,,0.058,0.01,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Clay County,2,12,19,12019,Distribution of population (%),9106,1012,0.709,0.12,0.004,0.03,0.001,0.107,0.029,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Collier County,3,12,21,12021,Distribution of all-cause deaths (%),15207,1342,0.851,0.034,0.002,0.007,,0.104,0.002,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Collier County,3,12,21,12021,Distribution of COVID-19 deaths (%),15207,1342,0.741,0.06,,0.008,,0.189,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Collier County,3,12,21,12021,Distribution of population (%),15207,1342,0.621,0.066,0.002,0.015,0,0.286,0.009,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Columbia County,5,12,23,12023,Distribution of all-cause deaths (%),4250,497,0.845,0.115,,0.005,,0.027,0.006,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Columbia County,5,12,23,12023,Distribution of COVID-19 deaths (%),4250,497,0.827,0.119,,,,0.04,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Columbia County,5,12,23,12023,Distribution of population (%),4250,497,0.718,0.181,0.005,0.01,0.001,0.067,0.018,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Duval County,1,12,31,12031,Distribution of all-cause deaths (%),41218,4248,0.683,0.246,0.001,0.02,0.001,0.044,0.005,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Duval County,1,12,31,12031,Distribution of COVID-19 deaths (%),41218,4248,0.656,0.254,,0.032,,0.051,0.005,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Duval County,1,12,31,12031,Distribution of population (%),41218,4248,0.514,0.297,0.003,0.049,0.001,0.11,0.026,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Escambia County,3,12,33,12033,Distribution of all-cause deaths (%),18977,1830,0.777,0.178,0.004,0.014,0.001,0.019,0.007,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Escambia County,3,12,33,12033,Distribution of COVID-19 deaths (%),18977,1830,0.735,0.213,0.006,0.017,,0.023,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Escambia County,3,12,33,12033,Distribution of population (%),18977,1830,0.639,0.226,0.007,0.032,0.002,0.061,0.033,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Flagler County,3,12,35,12035,Distribution of all-cause deaths (%),5792,416,0.847,0.086,,0.012,,0.049,0.005,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Flagler County,3,12,35,12035,Distribution of COVID-19 deaths (%),5792,416,0.812,0.096,,,,0.07,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Flagler County,3,12,35,12035,Distribution of population (%),5792,416,0.744,0.099,0.003,0.024,0.001,0.111,0.019,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Hernando County,2,12,53,12053,Distribution of all-cause deaths (%),11414,1161,0.891,0.035,0.001,0.005,,0.064,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Hernando County,2,12,53,12053,Distribution of COVID-19 deaths (%),11414,1161,0.842,0.044,,0.009,,0.099,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Hernando County,2,12,53,12053,Distribution of population (%),11414,1161,0.757,0.054,0.003,0.014,0.001,0.154,0.018,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Highlands County,4,12,55,12055,Distribution of all-cause deaths (%),7081,778,0.826,0.068,0.002,0.003,,0.095,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Highlands County,4,12,55,12055,Distribution of COVID-19 deaths (%),7081,778,0.742,0.089,,,,0.159,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Highlands County,4,12,55,12055,Distribution of population (%),7081,778,0.658,0.097,0.004,0.015,0,0.213,0.014,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Hillsborough County,1,12,57,12057,Distribution of all-cause deaths (%),48874,4348,0.642,0.149,0.001,0.018,0,0.184,0.005,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Hillsborough County,1,12,57,12057,Distribution of COVID-19 deaths (%),48874,4348,0.561,0.172,,0.016,,0.245,0.004,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Hillsborough County,1,12,57,12057,Distribution of population (%),48874,4348,0.471,0.162,0.002,0.044,0.001,0.299,0.021,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Indian River County,4,12,61,12061,Distribution of all-cause deaths (%),8783,630,0.9,0.056,,0.004,,0.036,0.003,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Indian River County,4,12,61,12061,Distribution of COVID-19 deaths (%),8783,630,0.8,0.117,,,,0.07,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Indian River County,4,12,61,12061,Distribution of population (%),8783,630,0.749,0.09,0.002,0.016,0,0.129,0.014,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Jackson County,6,12,63,12063,Distribution of all-cause deaths (%),2082,184,0.779,0.204,,,,0.013,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Jackson County,6,12,63,12063,Distribution of COVID-19 deaths (%),2082,184,0.696,0.272,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Jackson County,6,12,63,12063,Distribution of population (%),2082,184,0.656,0.259,0.007,0.006,0.001,0.051,0.019,Noncore,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Lake County,2,12,69,12069,Distribution of all-cause deaths (%),17082,1568,0.837,0.077,0.001,0.011,,0.07,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Lake County,2,12,69,12069,Distribution of COVID-19 deaths (%),17082,1568,0.758,0.106,,0.015,,0.112,0.007,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Lake County,2,12,69,12069,Distribution of population (%),17082,1568,0.678,0.107,0.003,0.022,0.001,0.171,0.017,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Lee County,3,12,71,12071,Distribution of all-cause deaths (%),30851,2351,0.838,0.054,0.001,0.006,,0.097,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Lee County,3,12,71,12071,Distribution of COVID-19 deaths (%),30851,2351,0.735,0.09,,0.006,,0.164,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Lee County,3,12,71,12071,Distribution of population (%),30851,2351,0.657,0.081,0.002,0.017,0,0.23,0.014,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Leon County,3,12,73,12073,Distribution of all-cause deaths (%),11847,1393,0.68,0.285,,0.007,,0.023,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Leon County,3,12,73,12073,Distribution of COVID-19 deaths (%),11847,1393,0.642,0.321,,,,0.027,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Leon County,3,12,73,12073,Distribution of population (%),11847,1393,0.555,0.317,0.003,0.035,0,0.068,0.022,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Manatee County,3,12,81,12081,Distribution of all-cause deaths (%),17530,1591,0.863,0.068,0.001,0.007,,0.059,0.002,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Manatee County,3,12,81,12081,Distribution of COVID-19 deaths (%),17530,1591,0.77,0.097,,0.006,,0.121,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Manatee County,3,12,81,12081,Distribution of population (%),17530,1591,0.706,0.085,0.002,0.023,0.001,0.168,0.016,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Marion County,3,12,83,12083,Distribution of all-cause deaths (%),21485,2275,0.836,0.085,0.002,0.007,,0.067,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Marion County,3,12,83,12083,Distribution of COVID-19 deaths (%),21485,2275,0.78,0.105,,0.005,,0.102,0.005,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Marion County,3,12,83,12083,Distribution of population (%),21485,2275,0.69,0.125,0.003,0.017,0.001,0.147,0.017,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Martin County,3,12,85,12085,Distribution of all-cause deaths (%),8079,815,0.909,0.037,,0.005,,0.046,0.002,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Martin County,3,12,85,12085,Distribution of COVID-19 deaths (%),8079,815,0.829,0.074,,,,0.082,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Martin County,3,12,85,12085,Distribution of population (%),8079,815,0.778,0.05,0.002,0.015,0.001,0.141,0.013,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Miami-Dade County,1,12,86,12086,Distribution of all-cause deaths (%),86800,10805,0.179,0.175,0,0.009,,0.634,0.002,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Miami-Dade County,1,12,86,12086,Distribution of COVID-19 deaths (%),86800,10805,0.115,0.174,,0.009,,0.7,0.002,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Miami-Dade County,1,12,86,12086,Distribution of population (%),86800,10805,0.135,0.153,0.001,0.015,0,0.689,0.007,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Nassau County,2,12,89,12089,Distribution of all-cause deaths (%),2779,144,0.925,0.045,,0.006,,0.018,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Nassau County,2,12,89,12089,Distribution of COVID-19 deaths (%),2779,144,0.903,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Nassau County,2,12,89,12089,Distribution of population (%),2779,144,0.862,0.058,0.003,0.01,0.001,0.049,0.016,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Okaloosa County,4,12,91,12091,Distribution of all-cause deaths (%),7840,714,0.86,0.077,0.003,0.019,,0.032,0.008,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Okaloosa County,4,12,91,12091,Distribution of COVID-19 deaths (%),7840,714,0.824,0.088,,0.024,,0.055,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Okaloosa County,4,12,91,12091,Distribution of population (%),7840,714,0.726,0.097,0.005,0.031,0.002,0.1,0.04,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Okeechobee County,5,12,93,12093,Distribution of all-cause deaths (%),1641,151,0.86,0.051,0.009,,,0.073,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Okeechobee County,5,12,93,12093,Distribution of COVID-19 deaths (%),1641,151,0.748,0.099,,,,0.119,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Okeechobee County,5,12,93,12093,Distribution of population (%),1641,151,0.621,0.084,0.009,0.009,0.001,0.265,0.011,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Orange County,1,12,95,12095,Distribution of all-cause deaths (%),40904,3740,0.557,0.191,0.001,0.03,0.001,0.216,0.004,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Orange County,1,12,95,12095,Distribution of COVID-19 deaths (%),40904,3740,0.449,0.211,,0.034,,0.298,0.005,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Orange County,1,12,95,12095,Distribution of population (%),40904,3740,0.391,0.202,0.002,0.055,0.001,0.329,0.019,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Osceola County,2,12,97,12097,Distribution of all-cause deaths (%),11223,1310,0.475,0.116,0.001,0.024,0.001,0.381,0.003,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Osceola County,2,12,97,12097,Distribution of COVID-19 deaths (%),11223,1310,0.345,0.122,,0.022,,0.506,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Osceola County,2,12,97,12097,Distribution of population (%),11223,1310,0.296,0.098,0.002,0.028,0.001,0.56,0.015,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Palm Beach County,2,12,99,12099,Distribution of all-cause deaths (%),61005,6049,0.758,0.123,0.001,0.01,0,0.105,0.003,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Palm Beach County,2,12,99,12099,Distribution of COVID-19 deaths (%),61005,6049,0.615,0.193,,0.01,,0.176,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Palm Beach County,2,12,99,12099,Distribution of population (%),61005,6049,0.533,0.188,0.002,0.029,0,0.234,0.014,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Pasco County,2,12,101,12101,Distribution of all-cause deaths (%),24954,2082,0.881,0.035,0.002,0.011,,0.068,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Pasco County,2,12,101,12101,Distribution of COVID-19 deaths (%),24954,2082,0.823,0.043,,0.015,,0.112,0.006,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Pasco County,2,12,101,12101,Distribution of population (%),24954,2082,0.716,0.06,0.003,0.029,0.001,0.171,0.02,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Pinellas County,1,12,103,12103,Distribution of all-cause deaths (%),49024,3655,0.858,0.079,0.001,0.014,0,0.044,0.005,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Pinellas County,1,12,103,12103,Distribution of COVID-19 deaths (%),49024,3655,0.813,0.099,,0.02,,0.061,0.003,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Pinellas County,1,12,103,12103,Distribution of population (%),49024,3655,0.735,0.104,0.002,0.035,0.001,0.103,0.02,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Polk County,3,12,105,12105,Distribution of all-cause deaths (%),28814,2889,0.768,0.118,0.001,0.007,,0.102,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Polk County,3,12,105,12105,Distribution of COVID-19 deaths (%),28814,2889,0.691,0.15,,0.008,,0.147,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Polk County,3,12,105,12105,Distribution of population (%),28814,2889,0.557,0.147,0.003,0.018,0.001,0.257,0.017,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Putnam County,5,12,107,12107,Distribution of all-cause deaths (%),3450,326,0.851,0.113,,0.003,,0.028,0.003,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Putnam County,5,12,107,12107,Distribution of COVID-19 deaths (%),3450,326,0.831,0.129,,,,0.034,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Putnam County,5,12,107,12107,Distribution of population (%),3450,326,0.71,0.158,0.004,0.006,0.001,0.104,0.016,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,St. Johns County,2,12,109,12109,Distribution of all-cause deaths (%),6742,383,0.904,0.052,,0.008,,0.031,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,St. Johns County,2,12,109,12109,Distribution of COVID-19 deaths (%),6742,383,0.843,0.097,,,,0.042,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,St. Johns County,2,12,109,12109,Distribution of population (%),6742,383,0.813,0.052,0.002,0.034,0.001,0.079,0.019,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,St. Lucie County,3,12,111,12111,Distribution of all-cause deaths (%),13648,1033,0.752,0.145,0.001,0.008,,0.089,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,St. Lucie County,3,12,111,12111,Distribution of COVID-19 deaths (%),13648,1033,0.626,0.203,,0.013,,0.151,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,St. Lucie County,3,12,111,12111,Distribution of population (%),13648,1033,0.552,0.205,0.002,0.019,0.001,0.203,0.019,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Santa Rosa County,3,12,113,12113,Distribution of all-cause deaths (%),4629,351,0.921,0.038,0.003,0.01,0.002,0.018,0.007,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Santa Rosa County,3,12,113,12113,Distribution of COVID-19 deaths (%),4629,351,0.897,0.043,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Santa Rosa County,3,12,113,12113,Distribution of population (%),4629,351,0.817,0.062,0.007,0.021,0.002,0.061,0.031,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Sarasota County,3,12,115,12115,Distribution of all-cause deaths (%),23856,2266,0.924,0.031,0.001,0.006,,0.035,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Sarasota County,3,12,115,12115,Distribution of COVID-19 deaths (%),23856,2266,0.893,0.038,,0.007,,0.06,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Sarasota County,3,12,115,12115,Distribution of population (%),23856,2266,0.825,0.043,0.002,0.018,0,0.097,0.014,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Seminole County,2,12,117,12117,Distribution of all-cause deaths (%),13362,1050,0.735,0.112,0.001,0.022,,0.125,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Seminole County,2,12,117,12117,Distribution of COVID-19 deaths (%),13362,1050,0.66,0.157,,0.021,,0.158,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Seminole County,2,12,117,12117,Distribution of population (%),13362,1050,0.581,0.116,0.002,0.05,0.001,0.229,0.022,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,FL,Sumter County,4,12,119,12119,Distribution of all-cause deaths (%),9262,721,0.935,0.031,0.001,0.006,,0.024,0.003,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
